0, 0, 0, 0, 0, 0, _, 1, _, 1, 0, 0, 1, _, _, 1, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 1, 2, 2, 1, 0, 0, 1, 2, 2, 1, 0, 0, 0, 0
1, 1, 0, 0, 0, 0, 1, _, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
_, 1, 0, 0, 0, _, 1, 1, 1, 0, 1, _, 1, 0, 0, 0, 0, 0, 0, 0
2, _, 0, 0, 0, 0, _, 0, 0, 0, 1, 1, _, 0, 0, 0, 0, 0, 0, 0
_, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _, 0, 0, 0, _, 0, 0
1, 1, 0, 0, 0, 0, 0, 0, _, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
_, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, _, 1, 0, 0, 0, 0, 0, 0
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0
0, 1, _, 1, 0, 0, 0, 0, 0, _, 0, 0, 0, 1, _, 2, _, 0, 0, 0
0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, _, 1, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 2, 2, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, _, 1, 0, 0, 1, _, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, _, 1, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0
