0, 0, 0, 0, 0, 0, G, 1, T, 1, 0, 0, 1, T, T, 1, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 1, 2, 2, 1, 0, 0, 1, 2, 2, 1, 0, 0, 0, 0
1, 1, 0, 0, 0, 0, 1, T, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
T, 1, 0, 0, 0, G, 1, 1, 1, 0, 1, T, 1, 0, 0, 0, 0, 0, 0, 0
2, G, 0, 0, 0, 0, G, 0, 0, 0, 1, 1, G, 0, 0, 0, 0, 0, 0, 0
T, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, G, 0, 0, 0, G, 0, 0
1, 1, 0, 0, 0, 0, 0, 0, G, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
T, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, T, 1, 0, 0, 0, 0, 0, 0
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0
0, 1, T, 1, 0, 0, 0, 0, 0, G, 0, 0, 0, 1, T, 2, G, 0, 0, 0
0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, T, 1, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 2, 2, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, T, 1, 0, 0, 1, T, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, T, 1, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0
